アカリ	明かり
カンセツ	関節
タイニチ	対日
アガリ	上がり
ノボリ	上り
イチブ	一部
ダイブブン	大部分
ニクタイ	肉体
ブチョウ	部長
ブブン	部分
ホンブ	本部
ロコツ	露骨
ヒガシ	東
トウブ	東部
ノウニュウ	納入
ノリカエル	乗り換える
コウシャ	後者
キマグレ	気まぐれ
セイトウ	政党
タンキダイガク	短期大学
トウ	党
カイサンブツ	海産物
ケイソツ	軽率
ダイチ	大地
ツチ	地
チジョウ	地上
モチモノ	持ち物
カイゴウ	会合
マニアウ	間に合う
アウ	合う
アイマ	合間
ゴウドウ	合同
レンゴウ	連合
オウズル	応ずる
マニアワセル	間に合わせる
キリツ	規律
シチョウ	市長
シミン	市民
アバレル	暴れる
アクム	悪夢
ギョウシャ	業者
ジギョウ	事業
ミノル	実る
ヒキツギ	引き継ぎ
コクナイ	国内
シナイ	市内
ウチ	内
ナイブ	内部
エノグ	絵の具
ゲンジュウショ	現住所
ソウカン	相関
イッポウ	一方
ミカタ	見方
コウホウ	後方
ユクエ	行方
チホウ	地方
カタガタ	方々
ミセビラカス	見せびらかす
ミセル	見せる
ヨッツ	四つ
ヨン	四
イッテイ	一定
ミカヅキ	三日月
テイネン	定年
ドウジル	動じる
イマ	今
コンゲツ	今月
コンゴ	今後
ムチ	無知
ムホウ	無法
コンニチ	今日
コトシ	今年
イママデ	今まで
カイ	回
コンカイ	今回
サライネン	再来年
テジナ	手品
ゼンカイ	前回
アタラシイ	新しい
アラタ	新た
シンジン	新人
シンネン	新年
ホウイ	方位
メウエ	目上
カイジョウ	会場
アラワス	表す
イチバ	市場
シュツジョウ	出場
バアイ	場合
セイツウ	精通
ソウバ	相場
ロンズル	論ずる
ジョウチョ	情緒
ジョウショ	情緒
オカネ	お金
アクシュ	握手
イタイ	痛い
イチイン	一員
カイイン	会員
ギイン	議員
シャイン	社員
ナマヌルイ	生ぬるい
テイイン	定員
フレアイ	触れ合い
サンリュウ	三流
キュウ	九
ニホンシュ	日本酒
ニュウコク	入国
ニュウシャ	入社
ニュウジョウ	入場
ブツゾウ	仏像
センシュツ	選出
センテイ	選定
ニュウセン	入選
ユウスル	有する
エラブ	選ぶ
コクリツ	国立
シリツ	市立
タイリツ	対立
チュウリツ	中立
タチバ	立場
カンズル	感ずる
カイカイ	開会
カイハツ	開発
トクバイ	特売
ムクチ	無口
キョクセン	曲線
ミアゲル	見上げる
テマ	手間
テマエ	手前
センシュ	選手
アイテ	相手
オオテ	大手
トオリスギル	通り過ぎる
ドウドウ	堂々
ニチベイ	日米
グン	群
ムレ	群れ
シュツリョク	出力
バツグン	抜群
ヒョウリ	表裏
ウラガエシ	裏返し
コクリョク	国力
ガッカイ	学会
ガクシャ	学者
ガクセイ	学生
ガクチョウ	学長
ガクネン	学年
ガクブ	学部
ケンガク	見学
コドモ	子供
ダイガク	大学
チュウガク	中学
チュウガクセイ	中学生
ニュウガク	入学
ガクモン	学問
ウチアゲル	打ち上げる
トイ	問い
トウ	問う
タカイ	高い
タカサ	高さ
タカマル	高まる
タカメル	高める
ジダイ	時代
ダイキン	代金
ダイコウ	代行
ネンダイ	年代
カワリ	代わり
ソウゲン	草原
アキラカ	明らか
アカルイ	明るい
ミョウニチ	明日
アシタ	明日
アス	明日
オクユキ	奥行き
ジジツ	事実
ジツハ	実は
ジッコウ	実行
ジツリョク	実力
マコトニ	実に
ジツニ	実に
デンアツ	電圧
イチエン	一円
エン	円
エンダカ	円高
ハジマル	始まる
チュウサイ	仲裁
ヤク	約
カンレン	関連
カコイ	囲い
ギケツ	議決
ケッシテ	決して
ケツギ	決議
ケッテイ	決定
タイケツ	対決
ブンシ	分子
コウドウ	行動
ジドウ	自動
フンバル	踏ん張る
ウゴキ	動き
ドウイン	動員
ドウリョク	動力
ワフク	和服
カクスル	画する
シンニュウ	侵入
ゼンイン	全員
ゼンブ	全部
ゼンリョク	全力
ゼンコク	全国
ガイライゴ	外来語
モクゼン	目前
ダイヒョウ	代表
ハッピョウ	発表
イキキ	行き来
テガカリ	手掛かり
ツクリアゲル	作り上げる
センジョウ	戦場
センゼン	戦前
タイセン	大戦
タタカイ	戦い
センゴ	戦後
オキ	沖
フジュン	不順
ビンジョウ	便乗
カヨウ	通う
ドオリ	通り
ツウガク	通学
ツウコウ	通行
ミトオシ	見通し
ホカ	外
ハズレ	外れ
ガイコク	外国
ガイコクジン	外国人
ガイシュツ	外出
ガイショウ	外相
ガイブ	外部
コクガイ	国外
チョウコウ	聴講
ニゲル	逃げる
トウソウ	逃走
コンケツ	混血
モットモ	最も
サイゴ	最後
サイコウ	最高
サイダイ	最大
ネンショウ	燃焼
イイカタ	言い方
イワバ	言わば
ゲンドウ	言動
ハツゲン	発言
ヒトコト	一言
キュウヘン	急変
ダンゼツ	断絶
チョウセツ	調節
ゲンキン	現金
ゲンジツ	現実
ゲンバ	現場
ゲンダイ	現代
ゲンチ	現地
ジツゲン	実現
ヒョウゲン	表現
スイバク	水爆
ケイリ	経理
ゲンテン	減点
ダイリ	代理
チリ	地理
リジ	理事
オル	居る
シラベ	調べ
チョウシ	調子
チョウリ	調理
イッタイ	一体
ゴゲン	語源
ジンタイ	人体
ゼンタイ	全体
カラダ	体
タイチョウ	体調
タイリョク	体力
ホンタイ	本体
リッタイ	立体
カガク	化学
ゴウリカ	合理化
マックラ	真っ暗
ハチョウ	波長
メイアン	明暗
ナル	成る
ソウトウ	相当
タオス	倒す
アタリ	当たり
アタリマエ	当たり前
アテル	当てる
トウジシャ	当事者
トウジ	当時
トウニン	当人
トウセン	当選
トウジツ	当日
トウブン	当分
ホントウ	本当
ユウエンチ	遊園地
テアテ	手当
キゴ	季語
ムクイル	報いる
ハチ	八
ワル	割る
ツグ	継ぐ
コンワク	困惑
ロク	六
ウタ	歌
シヨウニン	使用人
セイガン	請願
キコエル	聞こえる
ジシュ	自主
オモニ	主に
シュタイ	主体
チュウショウ	中傷
ミンシュ	民主
アブラエ	油絵
シュジン	主人
ギダイ	議題
シュダイ	主題
モンダイ	問題
ヒッコス	引っ越す
サゲル	下げる
クダリ	下り
キドル	気取る
ハラッパ	原っぱ
ショクン	諸君
ジョウゲ	上下
ノリコエル	乗り越える
チカ	地下
シメル	締める
ブカ	部下
ミツケル	見つける
シュショウ	首相
モエル	燃える
ネンピ	燃費
クビ	首
イガイ	意外
イケン	意見
ケツイ	決意
ゴウイ	合意
ダイナシ	台無し
ドウイ	同意
シナギレ	品切れ
ホジュウ	補充
ムジ	無地
ヤワラグ	和らぐ
ヤワラゲル	和らげる
ケンジツ	堅実
コケイ	固形
ゴウホウ	合法
ホウホウ	方法
ホウガク	法学
ホウジン	法人
ミンポウ	民法
リッポウ	立法
シュウチャク	執着
フジュウブン	不十分
フトウ	不当
フホウ	不法
フメイ	不明
オクリモノ	贈り物
デキゴト	出来事
ホンライ	本来
ホシイ	欲しい
ライ	来
ライゲツ	来月
ライニチ	来日
ライネン	来年
オキモノ	置物
マジワル	交わる
ツナ	綱
サク	作
サギョウ	作業
サクシャ	作者
サクセン	作戦
タベル	食べる
ショクパン	食パン
ホッサ	発作
ヘイホウ	平方
シホンカ	資本家
カイリュウ	海流
ゴウリテキ	合理的
ジシュテキ	自主的
シンカン	新刊
ホウテキ	法的
モクテキ	目的
シュヨウ	主要
フセグ	防ぐ
ヨウスル	要する
フヨウ	不要
サヨウ	作用
ジツヨウ	実用
ダイヨウ	代用
ヨウイ	用意
セイサク	制作
セイテイ	制定
セイヤク	制約
タイセイ	体制
ハッシャ	発車
ブンボウグ	文房具
キキャク	棄却
ジチ	自治
セイジ	政治
クチカズ	口数
メイジ	明治
コウド	高度
コンド	今度
ノボル	上る
セイド	制度
タンテキ	端的
ネンド	年度
ハンパ	半端
ガイム	外務
ツトメル	務める
ジム	事務
ジムイン	事務員
ホウム	法務
メンスル	面する
ハカル	測る
ツヨサ	強さ
ツヨメル	強める
キョウカ	強化
キョウセイ	強制
キョウリョク	強力
グンシュウ	群衆
キブン	気分
ツヨキ	強気
ニンキ	人気
セツダン	切断
タイキ	大気
ハラウ	払う
ホンキ	本気
ヨウショク	洋食
ショウガクセイ	小学生
ドウセイ	動静
シチ	七
ジュウフク	重複
チョウフク	重複
ミツニュウコク	密入国
アワス	合わす
セイジン	成人
セイチョウ	成長
セイブン	成分
セイリツ	成立
アタル	当たる
キカン	期間
キジツ	期日
コウキ	後期
ジキ	時期
ゼンキ	前期
チョウキ	長期
テイキ	定期
ドウキ	同期
ヤツアタリ	八つ当たり
コウカイ	公開
コウヒョウ	公表
コウムイン	公務員
コウメイ	公明
コウヤク	公約
コウリツ	公立
タバ	束
タル	足る
テッスル	徹する
カネモチ	金持ち
ミチガエル	見違える
モツ	持つ
シンサツ	診察
オオサワギ	大騒ぎ
キモチ	気持ち
モチ	持ち
ブンヤ	分野
ヤガイ	野外
ヤトウ	野党
キョウギ	協議
キョウリョク	協力
ザイバツ	財閥
トル	取る
トッテ	取っ手
トリシラベ	取り調べ
ミドコロ	見どころ
シュト	首都
ミヤコ	都
トカイ	都会
ツゴウ	都合
トシ	都市
トナイ	都内
トリツ	都立
セイタン	生誕
チョウワ	調和
トウイツ	統一
トウゴウ	統合
トウチ	統治
トウセイ	統制
イカ	以下
イゴ	以後
イゼン	以前
イナイ	以内
イライ	以来
コウゴ	口語
ハヘン	破片
ウワキ	浮気
カタテ	片手
キカイ	機会
キカン	機関
キタイ	機体
キチョウ	機長
ドウキ	動機
マドワス	惑わす
ケイイ	敬意
コウヘイ	公平
ヘイジツ	平日
ヘイネン	平年
ヘイヤ	平野
ヘイワ	平和
ワヘイ	和平
ヘイセイ	平成
カラッポ	空っぽ
フタゴ	双子
ソウカイ	総会
ソウリ	総理
ドウヨウ	動揺
ソウゴウ	総合
カニュウ	加入
ツトメサキ	勤め先
コウコウ	孝行
ナカユビ	中指
ヤマ	山
オモワズ	思わず
カリ	借り
ダッスイ	脱水
ダツラク	脱落
トウタツ	到達
オモイ	思い
オモイデ	思い出
オモウ	思う
ダッソウ	脱走
カジ	家事
ヤヌシ	家主
カナイ	家内
ハタス	果たす
コッカ	国家
サッカ	作家
ジッカ	実家
セイジカ	政治家
アタエル	与える
タビダツ	旅立つ
イッカ	一家
カイワ	会話
シンシツ	寝室
タイワ	対話
ツウワ	通話
ワダイ	話題
ハナシ	話
ハナシアイ	話し合い
ショキュウ	初級
ヨノナカ	世の中
セケン	世間
セダイ	世代
セワ	世話
チュウセイ	中世
ドアイ	度合
ウケイレル	受け入れる
ソウベツ	送別
クカン	区間
ハンシャ	反射
ヨウケン	用件
キマエ	気前
ダイトウリョウ	大統領
ミレン	未練
アタタカイ	温かい
カクス	隠す
カヨウ	火曜
カヨウビ	火曜日
ケンリツ	県立
ドクガク	独学
ジゾク	持続
ソウゾク	相続
ナイゾウ	内臓
レンゾク	連続
ゾクゾク	続々
テツヅキ	手続き
ツヅキ	続き
エンジル	演じる
シンガク	進学
シンコウ	進行
シンシュツ	進出
ゼンシン	前進
コウセイ	公正
シュウデン	終電
セイ	正
ショウガツ	正月
セイトウ	正当
タイショウ	大正
フセイ	不正
ナガビク	長引く
アンゼン	安全
アンテイ	安定
エンヤス	円安
ガンショ	願書
ケンブン	見聞
チアン	治安
フアン	不安
フアンテイ	不安定
メヤス	目安
カイセツ	開設
カンスル	関する
コウバイ	購買
スギ	杉
セッテイ	設定
セツリツ	設立
シヒ	私費
ハッキ	発揮
ホアン	保安
トコロドコロ	所々
カイセイ	改正
ゲンショ	原書
トリダス	取り出す
ナヅケル	名付ける
トリキメ	取決め
カイスウ	回数
スウガク	数学
ソウスウ	総数
タスウ	多数
ニンズウ	人数
カズ	数
ニッスウ	日数
ヒキオコス	引き起こす
シルス	記す
キジ	記事
キシャ	記者
ニッキ	日記
ダイガクイン	大学院
ニュウイン	入院
ウキ	雨期
オンナ	女
オンナノコ	女の子
ジョシ	女子
ジョセイ	女性
チョウジョ	長女
トウナン	盗難
ニッシ	日誌
メダツ	目立つ
サイショ	最初
コロガス	転がす
コロガル	転がる
キタ	北
ゴゴ	午後
ゴゼン	午前
ショウゴ	正午
ユビ	指
シテイ	指定
ネンガジョウ	年賀状
アンシン	安心
カンシン	関心
シンリ	心理
チヘイセン	地平線
チュウシン	中心
トシン	都心
セカイ	世界
シシュツ	支出
ツトメ	務め
サンギョウ	産業
サンチ	産地
セイサン	生産
ムスブ	結ぶ
ウラグチ	裏口
ヒャク	百
ハデ	派手
リッパ	立派
チテン	地点
テン	点
テンスウ	点数
エンリョ	遠慮
キョウカイ	教会
モトモト	元々
ケイザイ	経済
チガウ	違う
サワグ	騒ぐ
ケス	消す
カツドウ	活動
カツヨウ	活用
カツリョク	活力
セイカツ	生活
ゲンリ	原理
ハレ	晴れ
センゲツ	先月
センセイ	先生
センジツ	先日
キョウツウ	共通
コウキョウ	公共
キョウドウ	共同
ココロエル	心得る
トクイ	得意
カイケツ	解決
ケンカイ	見解
リカイ	理解
オマエ	お前
メイサク	名作
メイジン	名人
ナマエ	名前
ガイコウ	外交
コウツウ	交通
ヨテイ	予定
ヨヤク	予約
カワ	川
ホウコウ	方向
コクサイ	国際
サイ	際
ネル	寝る
アラワス	現す
ウケトリ	受取
バメン	場面
ヒョウメン	表面
ホウメン	方面
ヒロメル	広める
アタタマル	温まる
サクブン	作文
ブンカ	文化
ブンガク	文学
ブンメイ	文明
ハンタイ	反対
モト	元
ゲンキ	元気
ガンジツ	元日
ヒニク	皮肉
オモサ	重さ
カサネル	重ねる
ジュウダイ	重大
ジュウテン	重点
ジュウヨウ	重要
タイジュウ	体重
チョウホウケイ	長方形
チカイ	近い
キンダイ	近代
サイキン	最近
マルイ	円い
セン	千
カンガエ	考え
カンガエル	考える
ガカ	画家
ガメン	画面
ゲヒン	下品
ウミ	海
カイガイ	海外
サンカ	参加
サンコウ	参考
ウル	売る
ハツバイ	発売
ウリバ	売り場
フリ	不利
リヨウ	利用
ヒトトオリ	一通り
シル	知る
チジ	知事
チジン	知人
ツウチ	通知
シリアイ	知り合い
アンナイ	案内
レンソウ	連想
ショドウ	書道
ミチ	道
ジュシン	受信
シンヨウ	信用
ツウシン	通信
スゴス	過ごす
アツマル	集まる
アツメル	集める
シュウカイ	集会
シュウゴウ	集合
シュウチュウ	集中
アツマリ	集まり
ジケン	事件
シュウダン	集団
ワラウ	笑う
ダンタイ	団体
ダンチ	団地
クベツ	区別
セイベツ	性別
ベツニ	別に
ワカレ	別れ
ベツベツ	別々
ジナン	次男
ジンブツ	人物
ドウブツ	動物
ブツリ	物理
ホンモノ	本物
ウチガワ	内側
ゴウイン	強引
センザイ	洗剤
ツカウ	使う
シヨウ	使用
タイシ	大使
ツマル	詰まる
イタス	致す
キンジョ	近所
ジムショ	事務所
バショ	場所
シダイニ	次第に
ミズ	水
スイドウ	水道
スイメン	水面
ミトメル	認める
スイサン	水産
タイハン	大半
ハン	半
ナカバ	半ば
ハンブン	半分
サクヒン	作品
ニチヨウヒン	日用品
ブヒン	部品
オマイリ	お参り
サクネン	昨年
マイル	参る
カイケイ	会計
ケイ	計
ケイカク	計画
ゴウケイ	合計
トケイ	時計
シャセイ	写生
ウツル	映る
シタイ	死体
リョウガエ	両替
ゾウカ	増加
ゾウダイ	増大
スエッコ	末っ子
マワリミチ	回り道
カンケイ	関係
キュウソク	休息
カカリ	係
タチアガル	立ち上がる
トクニ	特に
トクテイ	特定
トクベツ	特別
ジョウホウ	情報
タイヘン	大変
カワル	変わる
ヘンカ	変化
ヒロガル	広がる
オトコ	男
オトコノコ	男の子
ダンシ	男子
ダンセイ	男性
チョウナン	長男
モドス	戻す
オシエル	教える
シリツ	私立
スム	済む
コトリ	小鳥
カザル	飾る
シタガキ	下書き
カイシ	開始
ハジマリ	始まり
カシ	貸し
シマ	島
ショウジキ	正直
タダチニ	直ちに
チョクゴ	直後
チョクゼン	直前
リョウホウ	両方
キヅク	気付く
アサ	朝
コウシキ	公式
セイシキ	正式
タシカメル	確かめる
カクニン	確認
ハジメ	初め
メイカク	明確
タシカ	確か
ムラ	村
タツ	経つ
テイシュツ	提出
コヅツミ	小包
ウン	運
ハコブ	運ぶ
ウンドウ	運動
サイシュウ	最終
オエル	終える
オワリ	終わり
サイチュウ	最中
クダモノ	果物
ケッカ	結果
ハタシテ	果たして
ニシ	西
トウザイ	東西
スギル	過ぎる
アラワレル	現れる
ミョウジ	名字
カゲン	加減
ヘラス	減らす
ヘル	減る
ダイ	台
ダイドコロ	台所
シラベル	調べる
リョウシュウ	領収
ヒロイ	広い
ヒロサ	広さ
ヒロバ	広場
ヒロゲル	広げる
カナラズ	必ず
カナラズシモ	必ずしも
ヒツヨウ	必要
ヒッシ	必死
ゴジュウオン	五十音
チャイロ	茶色
アジワウ	味わう
デンキ	電気
デンシ	電子
デンリョク	電力
デンワ	電話
ハツデン	発電
マチガエル	間違える
ナカヨシ	仲良し
ジュウショ	住所
ジュウミン	住民
センソウ	戦争
ミオロス	見下ろす
ソウダン	相談
ブジ	無事
ムリ	無理
ユウヒ	夕日
フタタビ	再び
サイサン	再三
センゾ	先祖
チイ	地位
デキアガル	出来上がる
イチ	位置
ケガワ	毛皮
モウフ	毛布
マンナカ	真ん中
イチリュウ	一流
コウリュウ	交流
ハリガネ	針金
ナガス	流す
ナガレ	流れ
ゴウカク	合格
セイカク	性格
アズケル	預ける
ウム	有無
ユウメイ	有名
ユウリ	有利
ギモン	疑問
シンジル	信じる
クチ	口
デグチ	出口
ジンコウ	人口
カハンスウ	過半数
ツウカ	通過
カエス	返す
キョク	局
ケッキョク	結局
スコシ	少し
ショウネン	少年
タショウ	多少
ショウジョ	少女
キニイル	気に入る
ホウテイシキ	方程式
キイロ	黄色
ミチル	満ちる
シタマチ	下町
マチ	町
インリョク	引力
ヒキウケル	引き受ける
ガッコウ	学校
コウチョウ	校長
コウコウ	高校
コウコウセイ	高校生
ショウガッコウ	小学校
チュウガッコウ	中学校
ゲンリョウ	原料
ムリョウ	無料
ユウリョウ	有料
リョウキン	料金
リョウリ	料理
トリアゲル	取り上げる
オキル	起きる
コウギョウ	工業
コウジ	工事
ジンコウ	人工
ダイク	大工
タテモノ	建物
ゲンゴ	言語
カタル	語る
ゴガク	語学
コウカ	硬貨
コクゴ	国語
モノガタリ	物語
モノガタル	物語る
トジル	閉じる
ヨウゴ	用語
エイギョウ	営業
クウ	食う
トトノウ	整う
クウキ	空気
クウチュウ	空中
マジメ	真面目
ショクバ	職場
ハグルマ	歯車
スイヘイセン	水平線
ツチ	土
トチ	土地
ヨワイ	弱い
キュウ	急
キュウコウ	急行
トッキュウ	特急
チュウシ	中止
ミオクリ	見送り
ミオクル	見送る
オクル	送る
ホウソウ	放送
ズヒョウ	図表
サル	去る
ヒルヤスミ	昼休み
ケッコウ	結構
コウセイ	構成
マケル	負ける
ワリアイ	割合
ワリビキ	割引
シンブン	新聞
シンブンシャ	新聞社
ジシン	自身
シュッシン	出身
シンシン	心身
シンチョウ	身長
ミブン	身分
ゼンシン	全身
ナカミ	中身
ヒヨウ	費用
ナオス	直す
ヒヅケ	日付
ツキアイ	付き合い
フキン	付近
トル	撮る
キッテ	切手
タイセツ	大切
ケイユ	経由
ジユウ	自由
テブクロ	手袋
フジユウ	不自由
リユウ	理由
ヤトウ	雇う
カイセツ	解説
ショウセツ	小説
セツメイ	説明
カタミチ	片道
ウンテン	運転
ウンテンシュ	運転手
カイテン	回転
ガイショク	外食
タベモノ	食べ物
ショクジ	食事
ショクヒン	食品
ショクリョウ	食料
クラベル	比べる
ムズカシイ	難しい
アズカル	預かる
ゲシャ	下車
ジテンシャ	自転車
ジドウシャ	自動車
クルマ	車
シャナイ	車内
デンシャ	電車
ジョユウ	女優
クフウ	工夫
フジン	夫人
レイギ	礼儀
シュウニュウ	収入
コトワル	断る
シボル	絞る
ホド	程
ナニカ	何か
ナントカ	何とか
オソワル	教わる
ミナミ	南
ナンボク	南北
アシ	足
フソク	不足
アシモト	足元
チガイ	違い
イハン	違反
マチガイ	間違い
ソウイ	相違
ショウヒ	消費
トリケシ	取り消し
ジンジャ	神社
ミツカル	見付かる
イチバン	一番
バングミ	番組
モウシワケ	申し訳
キセル	着せる
ヒカル	光る
コロブ	転ぶ
マゼル	交ぜる
タイド	態度
イケバナ	生け花
ステキ	素敵
ツウジル	通じる
トバス	飛ばす
ヨビ	予備
キラウ	嫌う
カイスウケン	回数券
シンパイ	心配
ケイサン	計算
ヨサン	予算
スワル	座る
アオイ	青い
オオイ	多い
ケイカン	警官
タイセキ	体積
ケンキュウ	研究
キョウイク	教育
タイイク	体育
シュッセキ	出席
セキ	席
ユシュツ	輸出
ユニュウ	輸入
タズネル	訪ねる
タノシミ	楽しみ
コウサ	交差
サシアゲル	差し上げる
ジョウギ	定規
ソセン	祖先
キモノ	着物
シテン	支店
ショテン	書店
テンイン	店員
ホンテン	本店
ノコリ	残り
サス	指す
ノコス	残す
シソウ	思想
ハッソウ	発想
リソウ	理想
アル	有る
シンカンセン	新幹線
セン	線
オサメル	治める
ビョウイン	病院
ビョウキ	病気
シンダイ	寝台
デイリグチ	出入口
イッパイ	一杯
ケイド	経度
タチドマル	立ち止まる
ナマイキ	生意気
コエ	声
シツ	質
シツモン	質問
セイシツ	性質
ブッシツ	物質
ザンネン	残念
ウスグライ	薄暗い
イレモノ	入れ物
キタイ	期待
ヤオヤ	八百屋
シアイ	試合
カゾク	家族
ギンコウ	銀行
ギン	銀
タスケル	助ける
ジョシュ	助手
コウチャ	紅茶
タトエバ	例えば
シゼン	自然
シュチョウ	主張
シュッチョウ	出張
ハカル	計る
エイガ	映画
キゲン	期限
カギル	限る
ゲンカイ	限界
ゲンド	限度
オヤ	親
ジンブンカガク	人文科学
リョウシン	両親
キンガク	金額
イイダス	言い出す
ジョウシャケン	乗車券
カンキョウ	環境
ケイケン	経験
シケン	試験
ジュケン	受験
オウ	追う
ツイカ	追加
マズシイ	貧しい
マイド	毎度
ショウギョウ	商業
ショウシャ	商社
ショウテン	商店
ショウバイ	商売
ショウヒン	商品
コトバ	言葉
マッサオ	真っ青
ヒルネ	昼寝
ツタワル	伝わる
ハタラキ	働き
ロウドウ	労働
カタチ	形
ケイシキ	形式
ニンギョウ	人形
オチル	落ちる
タスカル	助かる
タントウ	担当
コノミ	好み
ダイスキ	大好き
カッコウ	格好
ジュンビ	準備
ジョウタツ	上達
ヘン	辺
エイゴ	英語
セントウ	先頭
ギジュツ	技術
サイテイ	最低
テイカ	低下
マイニチ	毎日
イガク	医学
イシャ	医者
カイフク	回復
シゴト	仕事
シカタ	仕方
カコ	過去
キョネン	去年
メイズル	命ずる
イミ	意味
キミ	気味
ジミ	地味
アジ	味
ミカタ	味方
タダ	唯
スルドイ	鋭い
カシツ	過失
チカヅケル	近付ける
ウシナウ	失う
シツギョウ	失業
イテン	移転
イドウ	移動
クチベニ	口紅
サベツ	差別
モノサシ	物差し
コジン	個人
セイモン	正門
ゾンジル	存じる
シャシン	写真
カチョウ	課長
ニッカ	日課
サガス	探す
マモル	守る
キンギョ	金魚
リコウ	利口
ショウキョクテキ	消極的
ナンキョク	南極
ナゲル	投げる
ウツクシイ	美しい
ミジカイ	短い
セイメイ	生命
イノチ	命
モノオト	物音
ガマン	我慢
カサナル	重なる
ヤスイ	安い
ジュウリョウ	重量
キエル	消える
ノゾミ	望み
ナラブ	並ぶ
サシツカエ	差し支え
ネッスル	熱する
ケイサツ	警察
セイビ	整備
セイリ	整理
チョウセイ	調整
イチダン	一段
シュダン	手段
ウツス	映す
ヨコ	横
オウダン	横断
シジュウ	始終
シロ	白
オボエル	覚える
カツジ	活字
スウジ	数字
カイトウ	回答
コタエ	答え
モンドウ	問答
ヒマ	暇
オイツク	追い付く
ヨル	夜
ヤカン	夜間
セイヒン	製品
オンガク	音楽
ツメタイ	冷たい
ヨウス	様子
サマザマ	様々
ザイサン	財産
クウコウ	空港
ミナト	港
ショウガクキン	奨学金
イシキ	意識
チシキ	知識
チュウイ	注意
チュウモン	注文
チュウモク	注目
ヨブ	呼ぶ
ジョウヒン	上品
ヘイキ	平気
カエリ	帰り
シヌ	死ぬ
ベンジョ	便所
ヨコギル	横切る
ハリ	針
ホウシン	方針
センモン	専門
トオカ	十日
ハクセン	白線
ウケモツ	受け持つ
テンキ	天気
テンネン	天然
カイダン	階段
ダンカイ	段階
カテイ	課程
カテイ	過程
ギョウギ	行儀
タンショ	短所
テイド	程度
ニッテイ	日程
フマン	不満
マンイン	満員
マンゾク	満足
シッパイ	失敗
アラウ	洗う
タリル	足りる
ネダン	値段
カシュ	歌手
カウ	買う
バイバイ	売買
カイモノ	買い物
ダンボウ	暖房
トツゼン	突然
ニセモノ	偽物
ウツル	移る
セッスル	接する
セッキン	接近
チョクセツ	直接
メンセツ	面接
ガッキ	楽器
キショウ	起床
ジョウブ	丈夫
ヒカリ	光
センロ	線路
ドウロ	道路
メザス	目指す
カガク	科学
ゲカ	外科
ガッカ	学科
キョウカショ	教科書
リカ	理科
カモク	科目
センコウ	専攻
タイテイ	大抵
イワウ	祝う
キョウジュ	教授
ジュギョウ	授業
ジョキョウジュ	助教授
コマカイ	細かい
コウカ	効果
ユウコウ	有効
ズケイ	図形
トショ	図書
チズ	地図
コンシュウ	今週
シュウ	週
センシュウ	先週
マイシュウ	毎週
ライシュウ	来週
セッキョクテキ	積極的
メンセキ	面積
サメル	冷める
カンジョウ	勘定
ラクダイ	落第
カツグ	担ぐ
ハンセイ	反省
ナイ	無い
キョウシツ	教室
マワリ	回り
カショ	個所
ムシバ	虫歯
フトイ	太い
ハシ	橋
シンポ	進歩
ダンダン	段々
カイガン	海岸
マス	増す
キャク	客
キャクセキ	客席
ジョウキャク	乗客
タイフウ	台風
カミ	紙
テガミ	手紙
ヒョウシ	表紙
マワリ	周り
イシ	医師
キョウシ	教師
ザイリョウ	材料
モクザイ	木材
カワイイ	可愛い
ツモル	積もる
マチアワセル	待ち合わせる
トザン	登山
トウジョウ	登場
オカアサン	お母さん
ハハ	母
ハハオヤ	母親
ナオル	直る
クロ	黒
カザン	火山
カジ	火事
カタイ	固い
コワイ	怖い
カソク	加速
キュウソク	急速
コウソク	高速
ジソク	時速
ソクド	速度
セイゾン	生存
ホゾン	保存
ハナ	花
ハナビ	花火
カエル	帰る
ハル	春
シカクイ	四角い
トオス	通す
ヒコウ	飛行
ヒコウキ	飛行機
チュウオウ	中央
チル	散る
シンズル	信ずる
アカチャン	赤ちゃん
ナオス	治す
シンゴウ	信号
バンゴウ	番号
タンナル	単なる
タンニ	単に
タンイ	単位
ザセキ	座席
アオ	青
セイネン	青年
ハサン	破産
カンセイ	完成
カンゼン	完全
スム	住む
オリル	降りる
モクジ	目次
オリル	下りる
ツキアウ	付き合う
セキニン	責任
クギル	区切る
ツッコム	突っ込む
サッソク	早速
チャクチャク	着々
ミギ	右
マジル	交じる
イジワル	意地悪
ナガレル	流れる
モリ	森
ツウチョウ	通帳
キョウソウ	競争
カクダイ	拡大
コウツウジコ	交通事故
ジコ	事故
エイガカン	映画館
トショカン	図書館
タイシカン	大使館
ビジュツカン	美術館
シカタガナイ	仕方がない
キュウヨ	給与
キュウリョウ	給料
オクジョウ	屋上
コヤ	小屋
ヘヤ	部屋
ヨミ	読み
ヨミカタ	読み方
ドクショ	読書
ベントウ	弁当
ヤネ	屋根
イロ	色
ワタル	渡る
トクショク	特色
トモ	友
ユウコウ	友好
ユウジン	友人
トモダチ	友達
コエル	超える
ニガテ	苦手
クロウ	苦労
サス	差す
マイバン	毎晩
ハシル	走る
コウエン	公園
ドウブツエン	動物園
カグ	家具
ドウグ	道具
グアイ	具合
ツカマエル	捕まえる
ヒダリ	左
サユウ	左右
ホウガク	方角
ケワシイ	険しい
ソントク	損得
レキシ	歴史
ジショ	辞書
