アカリ	明かり
ウツ	写(す)
ハイ	入(る)
ツク	作(る)
ナオ	治(る)
ヨロコ	喜(ぶ)
ムカ	迎(える)
コワ	壊(す)
オコナ	行(う)
コワ	壊(れる)
ノリカ	乗り換(える)
マニア	間に合(う)
エラ	選(ぶ)
ハジ	始(まる)
カヨ	通(う)
ヒッコ	引っ越(す)
ハラ	払(う)
オモ	思(う)
チガ	違(う)
サワ	騒(ぐ)
カンガ	考(える)
アツ	集(まる)
アツ	集(める)
ワラ	笑(う)
ツカ	使(う)
イタ	致(す)
マイ	参(る)
オシ	教(える)
カザ	飾(る)
ハコ	運(ぶ)
シラ	調(べる)
マチガ	間違(える)
カエ	返(す)
オク	送(る)
ナオ	直(す)
マワ	回(る)
クラ	比(べる)
ミツ	見付(かる)
ヒカ	光(る)
スワ	座(る)
タズ	訪(ねる)
サシア	差し上(げる)
サガ	探(す)
ナラ	並(ぶ)
オボ	覚(える)
アラ	洗(う)
ウツ	移(る)
ナオ	直(る)
カエ	帰(る)
ワタ	渡(る)
ハシ	走(る)
ツカ	捕(まえる)
ヤス	休(む)
テツダ	手伝(う)
タノ	頼(む)
アソ	遊(ぶ)
ヨゴ	汚(れる)
タオ	倒(れる)
ミツ	見付(ける)
ヒラ	開(く)
ウゴ	動(く)
フト	太(る)
デカ	出掛(ける)
ナラ	習(う)
ツヅ	続(く)
ツヅ	続(ける)
サワ	触(る)
アヤマ	謝(る)
ヌス	盗(む)
スベ	滑(る)
モド	戻(る)
ソダ	育(てる)
ツカ	疲(れる)
カタヅ	片付(ける)
オク	遅(れる)
ツタ	伝(える)
ハタラ	働(く)
コマ	困(る)
オコ	怒(る)
オヨ	泳(ぐ)
タズ	尋(ねる)
トリカ	取り替(える)
アル	歩(く)
ツト	勤(める)
ナラ	並(べる)
ネム	眠(る)
ヒロ	拾(う)
トド	届(ける)
コタ	答(える)
イノ	祈(る)
メシア	召し上(がる)
ワス	忘(れる)
オドロ	驚(く)
デキ	出来(る)
オド	踊(る)
イタダ	頂(く)
クモ	曇(る)
カワ	乾(く)
ミガ	磨(く)
ウカガ	伺(う)
フリダ	降り出(す)
モラ	貰(う)
シカ	叱(る)
ゴラン	ご覧(になる)
